name	type
AY345986|CUHK_AG01|2003|Hong_Kong	SARS
AY502924|TW11|2003|Taiwan	SARS
AY304495|GZ50|2003|Hong_Kong	SARS
AY502932|TW9|2003|Taiwan	SARS
AY502927|TW4|2003|Taiwan	SARS
AY278487|BJ02|2003|China	SARS
AY559082|Sin852|2003|Singapore	SARS
AY390556|GZ02|2003|China	SARS
AY313906|GD69|2003|China	SARS
AY278489|GD01|2003|NA	SARS
AY502925|TW2|2003|Taiwan	SARS
AY568539|GZ0401|2004|China	SARS
AY502926|TW3|2003|Taiwan	SARS
AY394993|HGZ8L2|2003|NA	SARS
AY502931|TW8|2003|Taiwan	SARS
AY395002|LC5|2003|NA	SARS
AY278488|BJ01|2003|China	SARS
AY279354|BJ04|2003|China	SARS
AY278554|CUHK_W1|2003|Hong_Kong	SARS
AY559081|Sin842|2003|Singapore	SARS
AY613947|GZ0402|2004|China	SARS
AY559085|Sin848|2003|Singapore	SARS
AY345988|CUHK_AG03|2003|Hong_Kong	SARS
FJ882963|P2|2004_08_10|USA	SARS
AY394995|HSZ_Cc|2003|NA	SARS
AY502928|TW5|2003|Taiwan	SARS
AY291451|TW1|2003|Taiwan	SARS
AY559094|Sin846|2003|Singapore	SARS
AY394850|WHU|2003|NA	SARS
GU553364|HKU_39849|2003_06_07|China	SARS
GU553363|HKU_39849|2003_06_07|China	SARS
AY278741|Urbani|NA|USA	SARS
NC_004718|Tor2|NA|Canada	SARS
